puzzle_id,solved,final_fitness,time_seconds,generations_run,population_size,mutation_rate,generations,selection_rate,random_selection_rate,nb_children,restart_after_n_stagnant
9,0,2,70.01,1000,500,0.1,1000,0.1,0.3,5,100
5,0,2,633.39,1000,5000,0.2,1000,0.4,0.1,4,100
3,0,2,633.77,1000,5000,0.2,1000,0.4,0.1,4,100
2,0,2,639.69,1000,5000,0.2,1000,0.1,0.4,4,100
0,0,4,279.71,1000,2000,0.2,1000,0.2,0.2,5,100
6,0,4,70.37,1000,500,0.2,1000,0.1,0.3,5,100
3,0,3,63.77,1000,500,0.1,1000,0.3,0.2,4,100
8,0,6,84.29,1000,500,0.05,1000,0.1,0.1,10,100
4,0,4,702.44,1000,5000,0.05,1000,0.2,0.2,5,100
5,0,2,257.88,1000,2000,0.3,1000,0.2,0.3,4,100
8,0,4,256.24,1000,2000,0.1,1000,0.3,0.2,4,100
6,0,2,280.92,1000,2000,0.05,1000,0.2,0.2,5,100
5,0,4,64.9,1000,500,0.1,1000,0.1,0.4,4,100
6,0,2,255.77,1000,2000,0.2,1000,0.4,0.1,4,100
5,0,4,63.59,1000,500,0.1,1000,0.4,0.1,4,100
1,0,6,63.41,1000,500,0.05,1000,0.4,0.1,4,100
10,0,4,710.09,1000,5000,0.05,1000,0.2,0.2,5,100
10,0,2,71.16,1000,500,0.3,1000,0.2,0.2,5,100
4,0,2,65.0,1000,500,0.3,1000,0.2,0.3,4,100
1,0,3,259.12,1000,2000,0.3,1000,0.2,0.3,4,100
4,0,4,836.43,1000,5000,0.05,1000,0.1,0.1,10,100
0,0,2,635.51,1000,5000,0.1,1000,0.1,0.4,4,100
5,0,2,256.09,1000,2000,0.3,1000,0.3,0.2,4,100
10,0,6,63.83,1000,500,0.05,1000,0.2,0.3,4,100
9,0,4,707.16,1000,5000,0.2,1000,0.1,0.3,5,100
6,0,2,69.6,1000,500,0.2,1000,0.2,0.2,5,100
5,0,6,253.3,1000,2000,0.05,1000,0.2,0.3,4,100
4,0,3,84.19,1000,500,0.05,1000,0.1,0.1,10,100
3,0,3,70.27,1000,500,0.05,1000,0.2,0.2,5,100
3,0,3,280.2,1000,2000,0.05,1000,0.1,0.3,5,100
0,0,4,638.05,1000,5000,0.05,1000,0.1,0.4,4,100
10,0,2,258.24,1000,2000,0.1,1000,0.2,0.3,4,100
3,0,4,66.64,1000,500,0.2,1000,0.4,0.1,4,100
9,0,3,258.75,1000,2000,0.2,1000,0.3,0.2,4,100
7,1,0,191.03,659,2000,0.1,1000,0.2,0.2,5,100
10,0,4,714.17,1000,5000,0.05,1000,0.3,0.1,5,100
10,0,2,641.85,1000,5000,0.05,1000,0.4,0.1,4,100
10,0,3,257.62,1000,2000,0.1,1000,0.3,0.2,4,100
9,0,2,259.35,1000,2000,0.3,1000,0.2,0.3,4,100
2,0,2,63.01,1000,500,0.1,1000,0.1,0.4,4,100
3,0,4,70.43,1000,500,0.3,1000,0.2,0.2,5,100
9,0,5,70.01,1000,500,0.05,1000,0.3,0.1,5,100
4,0,4,647.21,1000,5000,0.05,1000,0.4,0.1,4,100
7,0,5,284.09,1000,2000,0.1,1000,0.3,0.1,5,100
3,0,4,63.72,1000,500,0.1,1000,0.3,0.2,4,100
5,0,2,257.41,1000,2000,0.3,1000,0.3,0.2,4,100
6,0,2,70.04,1000,500,0.3,1000,0.3,0.1,5,100
10,0,4,256.24,1000,2000,0.2,1000,0.1,0.4,4,100
10,0,2,253.34,1000,2000,0.1,1000,0.2,0.3,4,100
2,0,2,644.75,1000,5000,0.3,1000,0.4,0.1,4,100
3,0,4,330.59,1000,2000,0.1,1000,0.1,0.1,10,100
6,0,2,252.41,1000,2000,0.3,1000,0.4,0.1,4,100
2,0,2,254.36,1000,2000,0.3,1000,0.1,0.4,4,100
7,0,2,70.49,1000,500,0.3,1000,0.1,0.3,5,100
7,0,2,634.32,1000,5000,0.05,1000,0.2,0.3,4,100
3,0,2,254.0,1000,2000,0.2,1000,0.2,0.3,4,100
8,0,6,63.8,1000,500,0.1,1000,0.4,0.1,4,100
2,0,2,640.4,1000,5000,0.2,1000,0.4,0.1,4,100
7,0,2,282.63,1000,2000,0.1,1000,0.1,0.3,5,100
8,0,2,262.7,1000,2000,0.2,1000,0.3,0.2,4,100
7,0,3,288.04,1000,2000,0.05,1000,0.2,0.2,5,100
4,0,4,840.63,1000,5000,0.2,1000,0.1,0.1,10,100
10,0,4,73.67,1000,500,0.2,1000,0.3,0.1,5,100
0,0,3,649.69,1000,5000,0.3,1000,0.3,0.2,4,100
7,0,2,839.93,1000,5000,0.1,1000,0.1,0.1,10,100
8,0,2,718.22,1000,5000,0.2,1000,0.1,0.3,5,100
0,0,2,659.54,1000,5000,0.3,1000,0.2,0.3,4,100
4,0,5,270.71,1000,2000,0.2,1000,0.1,0.4,4,100
3,0,2,718.53,1000,5000,0.3,1000,0.3,0.1,5,100
